sample,species,country,state,pair,chemotype,reprod_mode,is_outgroup,region
OMA_616_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_617-1_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_617-2_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_618-A-2_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_618-A-3_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_618-A-4_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_619_P_hypoleucinum_USA_TX,hypoleucinum,USA,TX,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_TX
OMA_653-B-1_P_perforatum_USA_LA,perforatum,USA,LA,perforatum_hypotropum,norstictic,sexual,FALSE,USA_LA
OMA_653-B-2_P_perforatum_USA_LA,perforatum,USA,LA,perforatum_hypotropum,norstictic,sexual,FALSE,USA_LA
OMA_653-B-3_P_perforatum_USA_LA,perforatum,USA,LA,perforatum_hypotropum,norstictic,sexual,FALSE,USA_LA
OMA_653-B-4_P_perforatum_USA_LA,perforatum,USA,LA,perforatum_hypotropum,norstictic,sexual,FALSE,USA_LA
OMA_653-B-5_P_perforatum_USA_LA,perforatum,USA,LA,perforatum_hypotropum,norstictic,sexual,FALSE,USA_LA
OMA_654-A-1_P_preperforatum_USA_LA,preperforatum,USA,LA,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_LA
OMA_654-AA-1_P_subrigidum_USA_LA,subrigidum,USA,LA,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_LA
OMA_654-AA-2_P_subrigidum_USA_LA,subrigidum,USA,LA,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_LA
OMA_654-AA-3_P_subrigidum_USA_LA,subrigidum,USA,LA,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_LA
OMA_654-AA-4_P_subrigidum_USA_LA,subrigidum,USA,LA,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_LA
